"zipcode","Classification","City","Population","Timezone","Area Code(s)"
"98170","Unique","Seattle","0","Pacific","206/425"
"98174","General","Seattle","0","Pacific","206/425"
"98175","P.O. Box","Seattle","0","Pacific","206/425/360/253"
"98177","General","Seattle","19,030","Pacific","206/425"
"98178","General","Seattle","24,092","Pacific","425/206/253"
"98181","Unique","Seattle","0","Pacific","206/425"
"98185","Unique","Seattle","0","Pacific","206/425"
"98188","General","Seattle","23,111","Pacific","425/206/253"
"98190","Unique","Seattle","0","Pacific","206/425"
"98191","Unique","Seattle","0","Pacific","206/425"
"98194","P.O. Box","Seattle","0","Pacific","206/425/360/253"
"98195","Unique","Seattle","0","Pacific","206"
"98198","General","Seattle","34,584","Pacific","206/253"
"98199","General","Seattle","19,686","Pacific","206"
"98224","P.O. Box","Baring","294","Pacific","425"
"98288","P.O. Box","Skykomish","333","Pacific","425"
